,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,eux,them
15,ville,city
16,chaque,each
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,revoir,meet again
24,aucune,any
25,place,square
26,parle,speak
27,compris,understood
28,savais,knew
29,étaient,were
30,attention,Warning
31,pourrais,could
32,donner,give
33,leurs,their
34,donné,given
35,façon,way
36,écoute,listen
37,dont,whose
38,trouve,find
39,perdu,lost
40,première,first
41,côté,side
42,sois,be
43,tiens,here
44,tellement,so much
45,enfant,child
46,pardon,sorry
47,venez,come
48,devant,in front of
49,demandé,request
50,chambre,bedroom
51,belle,beautiful
52,droit,law
53,aimerais,would like to
54,aujourd'hui,today
55,cause,cause
56,enfin,finally
57,attendez,Wait
58,nouvelle,new
59,boulot,job
60,arrêter,Stop
61,dirait,would say
62,terre,Earth
63,donne,given
64,loin,far
65,fin,end
66,croire,believe
67,chérie,sweetheart
68,gros,large
69,filles,girls
70,jouer,to play
71,bureau,office
